,B,I,,,,
,-34.83516,10.66665,,,,
,-34.81074,10.66477,,,,
,-34.78632,10.67739,,,,
,-34.7619,10.71317,,,,
,-34.73748,10.77553,,,,
,-34.71306,10.84121,,,,
,-34.68864,10.885,,,,
,-34.66422,10.94358,,,,
,-34.6398,11.00283,,,,
,-34.61538,11.06029,,,,
,-34.59096,11.11437,,,,
,-34.56654,11.17179,,,,
,-34.54212,11.24749,,,,
,-34.5177,11.31183,,,,
,-34.49328,11.36002,,,,
,-34.46886,11.3374,,,,
,-34.44444,11.27258,,,,
,-34.42002,11.20128,,,,
,-34.3956,11.09818,,,,
,-34.37118,10.99928,,,,
,-34.34676,10.98852,,,,
,-34.32234,11.01234,,,,
,-34.29792,11.03121,,,,
,-34.2735,10.98789,,,,
,-34.24908,10.96228,,,,
,-34.22466,10.98735,,,,
,-34.20024,11.06418,,,,
,-34.17582,11.11782,,,,
,-34.1514,11.08509,,,,
,-34.12698,11.01101,,,,
,-34.10256,10.91231,,,,
,-34.07814,10.80339,,,,
,-34.05372,10.70269,,,,
,-34.0293,10.6017,,,,
,-34.00488,10.54663,,,,
,-33.98046,10.57089,,,,
,-33.95604,10.6323,,,,
,-33.93162,10.7186,,,,
,-33.9072,10.80227,,,,
,-33.88278,10.90997,,,,
,-33.85836,11.05384,,,,
,-33.83394,11.20803,,,,
,-33.80952,11.42788,,,,
,-33.7851,11.66523,,,,
,-33.76068,11.86342,,,,
,-33.73626,11.98778,,,,
,-33.71184,12.09771,,,,
,-33.68742,12.25818,,,,
,-33.663,12.47935,,,,
,-33.63858,12.70981,,,,
,-33.61416,12.93397,,,,
,-33.58974,13.08816,,,,
,-33.56532,13.17506,,,,
,-33.5409,13.21047,,,,
,-33.51648,13.22042,,,,
,-33.49206,13.23164,,,,
,-33.46764,13.24731,,,,
,-33.44322,13.18479,,,,
,-33.4188,13.02743,,,,
,-33.39438,12.84176,,,,
,-33.36996,12.6192,,,,
,-33.34554,12.44494,,,,
,-33.32112,12.32227,,,,
,-33.2967,12.22765,,,,
,-33.27228,12.18034,,,,
,-33.24786,12.2341,,,,
,-33.22344,12.36107,,,,
,-33.19902,12.55611,,,,
,-33.1746,12.70742,,,,
,-33.15018,12.78919,,,,
,-33.12576,12.81636,,,,
,-33.10134,12.76769,,,,
,-33.07692,12.67259,,,,
,-33.0525,12.53029,,,,
,-33.02808,12.41067,,,,
,-33.00366,12.30062,,,,
,-32.97924,12.16171,,,,
,-32.95482,12.02622,,,,
